	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
0	Fred Astaire	Fred	Astaire	4	7.0	fred	astaire	fred_astaire	True
1	Lauren Bacall	Lauren	Bacall	6	6.0	lauren	bacall	lauren_bacall	True
2	Brigitte Bardot	Brigitte	Bardot	8	6.0	brigitte	bardot	brigitte_bardot	True
3	John Belushi	John	Belushi	4	7.0	john	belushi	john_belushi	True
4	Ingmar Bergman	Ingmar	Bergman	6	7.0	ingmar	bergman	ingmar_bergman	True
5	Ingrid Bergman	Ingrid	Bergman	6	7.0	ingrid	bergman	ingrid_bergman	True
6	Humphrey Bogart	Humphrey	Bogart	8	6.0	humphrey	bogart	humphrey_bogart	True
7	Marlon Brando	Marlon	Brando	6	6.0	marlon	brando	marlon_brando	True
8	Richard Burton	Richard	Burton	7	6.0	richard	burton	richard_burton	True
9	James Cagney	James	Cagney	5	6.0	james	cagney	james_cagney	True
10	Gary Cooper	Gary	Cooper	4	6.0	gary	cooper	gary_cooper	True
11	Bette Davis	Bette	Davis	5	5.0	bette	davis	bette_davis	True
12	Doris Day	Doris	Day	5	3.0	doris	day	doris_day	True
13	Olivia de Havilland	Olivia	de Havilland	6	12.0	olivia	de havilland	olivia_de havilland	False
14	James Dean	James	Dean	5	4.0	james	dean	james_dean	True
15	Georges Delerue	Georges	Delerue	7	7.0	georges	delerue	georges_delerue	False
16	Marlene Dietrich	Marlene	Dietrich	7	8.0	marlene	dietrich	marlene_dietrich	True
17	Kirk Douglas	Kirk	Douglas	4	7.0	kirk	douglas	kirk_douglas	True
18	Federico Fellini	Federico	Fellini	8	7.0	federico	fellini	federico_fellini	True
19	Henry Fonda	Henry	Fonda	5	5.0	henry	fonda	henry_fonda	True
20	Joan Fontaine	Joan	Fontaine	4	8.0	joan	fontaine	joan_fontaine	True
21	Clark Gable	Clark	Gable	5	5.0	clark	gable	clark_gable	True
22	Judy Garland	Judy	Garland	4	7.0	judy	garland	judy_garland	True
23	John Gielgud	John	Gielgud	4	7.0	john	gielgud	john_gielgud	True
24	Jerry Goldsmith	Jerry	Goldsmith	5	9.0	jerry	goldsmith	jerry_goldsmith	True
25	Cary Grant	Cary	Grant	4	5.0	cary	grant	cary_grant	True
26	Alec Guinness	Alec	Guinness	4	8.0	alec	guinness	alec_guinness	True
27	Rita Hayworth	Rita	Hayworth	4	8.0	rita	hayworth	rita_hayworth	True
28	Margaux Hemingway	Margaux	Hemingway	7	9.0	margaux	hemingway	margaux_hemingway	True
29	Audrey Hepburn	Audrey	Hepburn	6	7.0	audrey	hepburn	audrey_hepburn	True
30	Katharine Hepburn	Katharine	Hepburn	9	7.0	katharine	hepburn	katharine_hepburn	True
31	Charlton Heston	Charlton	Heston	8	6.0	charlton	heston	charlton_heston	True
32	Alfred Hitchcock	Alfred	Hitchcock	6	9.0	alfred	hitchcock	alfred_hitchcock	True
33	William Holden	William	Holden	7	6.0	william	holden	william_holden	True
34	James Horner	James	Horner	5	6.0	james	horner	james_horner	True
35	Buster Keaton	Buster	Keaton	6	6.0	buster	keaton	buster_keaton	True
36	Gene Kelly	Gene	Kelly	4	5.0	gene	kelly	gene_kelly	True
37	Grace Kelly	Grace	Kelly	5	5.0	grace	kelly	grace_kelly	True
38	Deborah Kerr	Deborah	Kerr	7	4.0	deborah	kerr	deborah_kerr	True
39	Stanley Kubrick	Stanley	Kubrick	7	7.0	stanley	kubrick	stanley_kubrick	True
40	Akira Kurosawa	Akira	Kurosawa	5	8.0	akira	kurosawa	akira_kurosawa	True
41	Alan Ladd	Alan	Ladd	4	4.0	alan	ladd	alan_ladd	True
42	Veronica Lake	Veronica	Lake	8	4.0	veronica	lake	veronica_lake	True
43	Burt Lancaster	Burt	Lancaster	4	9.0	burt	lancaster	burt_lancaster	True
44	Bruce Lee	Bruce	Lee	5	3.0	bruce	lee	bruce_lee	True
45	Vivien Leigh	Vivien	Leigh	6	5.0	vivien	leigh	vivien_leigh	True
46	Sophia Loren	Sophia	Loren	6	5.0	sophia	loren	sophia_loren	True
47	Peter Lorre	Peter	Lorre	5	5.0	peter	lorre	peter_lorre	True
48	Henry Mancini	Henry	Mancini	5	7.0	henry	mancini	henry_mancini	True
49	Groucho Marx	Groucho	Marx	7	4.0	groucho	marx	groucho_marx	True
50	James Mason	James	Mason	5	5.0	james	mason	james_mason	True
51	Marcello Mastroianni	Marcello	Mastroianni	8	11.0	marcello	mastroianni	marcello_mastroianni	True
52	Robert Mitchum	Robert	Mitchum	6	7.0	robert	mitchum	robert_mitchum	True
53	Marilyn Monroe	Marilyn	Monroe	7	6.0	marilyn	monroe	marilyn_monroe	True
54	Alfred Newman	Alfred	Newman	6	6.0	alfred	newman	alfred_newman	True
55	Paul Newman	Paul	Newman	4	6.0	paul	newman	paul_newman	True
56	David Niven	David	Niven	5	5.0	david	niven	david_niven	True
57	Maureen O'Hara	Maureen	O'Hara	7	6.0	maureen	o'hara	maureen_o'hara	False
58	Laurence Olivier	Laurence	Olivier	8	7.0	laurence	olivier	laurence_olivier	True
59	Gregory Peck	Gregory	Peck	7	4.0	gregory	peck	gregory_peck	True
60	Tyrone Power	Tyrone	Power	6	5.0	tyrone	power	tyrone_power	True
61	Elvis Presley	Elvis	Presley	5	7.0	elvis	presley	elvis_presley	True
62	Anthony Quinn	Anthony	Quinn	7	5.0	anthony	quinn	anthony_quinn	True
63	Edward G. Robinson	Edward	G. Robinson	6	11.0	edward	g. robinson	edward_g. robinson	False
64	Nino Rota	Nino	Rota	4	4.0	nino	rota	nino_rota	True
65	Jane Russell	Jane	Russell	4	7.0	jane	russell	jane_russell	True
66	Miklós Rózsa	Miklós	Rózsa	6	5.0	miklós	rózsa	miklós_rózsa	False
67	Randolph Scott	Randolph	Scott	8	5.0	randolph	scott	randolph_scott	True
68	Frank Sinatra	Frank	Sinatra	5	7.0	frank	sinatra	frank_sinatra	True
69	Max Steiner	Max	Steiner	3	7.0	max	steiner	max_steiner	True
70	James Stewart	James	Stewart	5	7.0	james	stewart	james_stewart	True
71	Elizabeth Taylor	Elizabeth	Taylor	9	6.0	elizabeth	taylor	elizabeth_taylor	True
72	Shirley Temple	Shirley	Temple	7	6.0	shirley	temple	shirley_temple	True
73	Gene Tierney	Gene	Tierney	4	7.0	gene	tierney	gene_tierney	True
74	Spencer Tracy	Spencer	Tracy	7	5.0	spencer	tracy	spencer_tracy	True
75	François Truffaut	François	Truffaut	8	8.0	françois	truffaut	françois_truffaut	True
76	Franz Waxman	Franz	Waxman	5	6.0	franz	waxman	franz_waxman	True
77	John Wayne	John	Wayne	4	5.0	john	wayne	john_wayne	True
78	Raquel Welch	Raquel	Welch	6	5.0	raquel	welch	raquel_welch	True
79	Orson Welles	Orson	Welles	5	6.0	orson	welles	orson_welles	True
80	Natalie Wood	Natalie	Wood	7	4.0	natalie	wood	natalie_wood	True
81	Victor Young	Victor	Young	6	5.0	victor	young	victor_young	False
82	Alan Miller	Alan	Miller	4	6.0	alan	miller	alan_miller	False
83	Li Gong	Li	Gong	2	4.0	li	gong	li_gong	True
84	Henner Hofmann	Henner	Hofmann	6	7.0	henner	hofmann	henner_hofmann	False
85	Louis de Funès	Louis	de Funès	5	8.0	louis	de funès	louis_de funès	False
86	Elena Koreneva	Elena	Koreneva	5	8.0	elena	koreneva	elena_koreneva	False
87	Aleksey Korenev	Aleksey	Korenev	7	7.0	aleksey	korenev	aleksey_korenev	False
88	Richard Paul	Richard	Paul	7	4.0	richard	paul	richard_paul	False
